date,chain,obs_iso_m,raw_iso_m,corr_iso_frozen_m,abs_err_frozen_m,corr_iso_live_m,abs_err_live_m,bias_source,glsea_anchor,retrieved_utc
2026-08-04,45216,8.25,15.62,12.17,3.93,12.18,3.93,live,ok,2026-08-07T03:45:44Z
2026-08-04,llo1,3.0,6.58,4.97,1.97,4.97,1.97,live,ok,2026-08-07T03:46:12Z
2026-08-05,llo1,3.0,1.93,2.62,0.38,2.54,0.46,live,ok,2026-08-07T03:46:14Z
2026-08-06,llo1,3.0,1.33,,,,,live,absent,2026-08-07T03:46:19Z
2026-08-07,llo1,3.0,1.33,,,,,live,absent,2026-08-07T19:53:09Z
2026-08-08,llo1,3.0,1.33,,,,,live,absent,2026-08-08T15:29:32Z
2026-08-09,llo1,3.0,1.33,,,,,live,absent,2026-08-09T15:26:49Z
2026-08-14,llo1,4.16,6.96,,,,,live,absent,2026-08-14T16:47:39Z
2026-08-15,45216,10.45,15.3,12.41,1.96,14.02,3.57,live,ok,2026-08-17T16:59:36Z
2026-08-15,llo1,19.26,12.31,10.09,9.18,10.9,8.36,live,ok,2026-08-17T16:59:44Z
2026-08-16,45216,6.89,15.06,7.76,0.87,11.33,4.44,live,ok,2026-08-17T16:59:40Z
2026-08-16,llo1,12.05,11.09,8.6,3.45,9.87,2.18,live,ok,2026-08-17T16:59:44Z
2026-08-17,llo1,13.72,5.78,,,,,live,absent,2026-08-17T16:59:47Z
