scene_date,station,landsat_st_c,dist_m,scene,cloud_pct,glsea_sst_c,glsea_dist_km,delta_c,retrieved_utc
2026-07-28,mackenzie_point,19.44,85.0,LC09_L2SP_025026_20260728_02_T1,15.9,16.68,0.59,2.76,2026-08-06T22:16:17Z
2026-07-28,marina_east_mcvicar,18.13,150.0,LC09_L2SP_025026_20260728_02_T1,15.9,16.4,1.28,1.73,2026-08-06T22:16:17Z
2026-07-28,silver_harbour_outer,19.57,0.0,LC09_L2SP_025026_20260728_02_T1,15.9,17.0,0.57,2.57,2026-08-06T22:16:17Z
2019-06-15,silver_harbour_outer,9.59,0.0,LC08_L2SP_025026_20190615_02_T1,5.4,8.67,0.49,0.92,2026-08-07T23:50:17Z
2019-06-15,mackenzie_point,9.79,0.0,LC08_L2SP_025026_20190615_02_T1,5.4,9.02,0.08,0.77,2026-08-07T23:50:17Z
2019-06-15,marina_east_mcvicar,15.33,0.0,LC08_L2SP_025026_20190615_02_T1,5.4,9.78,1.25,5.55,2026-08-07T23:50:17Z
2020-09-21,silver_harbour_outer,10.87,0.0,LC08_L2SP_025026_20200921_02_T1,1.0,11.52,0.49,-0.65,2026-08-07T23:50:17Z
2020-09-21,mackenzie_point,11.32,0.0,LC08_L2SP_025026_20200921_02_T1,1.0,11.63,0.08,-0.31,2026-08-07T23:50:17Z
2020-09-21,marina_east_mcvicar,14.96,0.0,LC08_L2SP_025026_20200921_02_T1,1.0,11.39,1.25,3.57,2026-08-07T23:50:17Z
2020-08-27,marina_east_mcvicar,23.2,361.0,LC08_L2SP_026026_20200827_02_T1,2.6,18.29,1.25,4.91,2026-08-07T23:50:17Z
2020-08-11,marina_east_mcvicar,18.57,0.0,LC08_L2SP_026026_20200811_02_T1,2.8,16.95,1.25,1.62,2026-08-07T23:50:17Z
2021-08-23,silver_harbour_outer,18.51,0.0,LC08_L2SP_025026_20210823_02_T1,18.2,18.58,0.49,-0.07,2026-08-07T23:50:17Z
2021-08-23,mackenzie_point,18.73,0.0,LC08_L2SP_025026_20210823_02_T1,18.2,18.64,0.08,0.09,2026-08-07T23:50:17Z
2021-06-04,silver_harbour_outer,13.14,0.0,LC08_L2SP_025026_20210604_02_T1,15.4,7.81,0.49,5.33,2026-08-07T23:50:17Z
2021-06-04,mackenzie_point,13.95,0.0,LC08_L2SP_025026_20210604_02_T1,15.4,7.54,0.08,6.41,2026-08-07T23:50:17Z
